truth_threshold,match_probability,row_count,p,n,tp,tn,fp,fn,P_rate,N_rate,tp_rate,tn_rate,fp_rate,fn_rate,precision,recall,specificity,npv,accuracy,f1,f2,f0_5,p4,phi
-49.9738986841048,9.043936321541382e-16,15168.0,59.0,15109.0,58.0,14725.0,384.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9745846846250579,0.02541531537494209,0.01694915254237288,0.13122171945701358,0.9830508474576272,0.9745846846250579,0.999932092896917,0.9746176160337553,0.2315369261477046,0.4277286135693215,0.15873015873015872,0.3750910635064679,0.3543974476181071
-48.91005520567481,1.8906289057116933e-15,15168.0,59.0,15109.0,58.0,14734.0,375.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9751803560791581,0.02481964392084188,0.01694915254237288,0.13394919168591224,0.9830508474576272,0.9751803560791581,0.9999321343739396,0.9752109704641351,0.23577235772357724,0.4334828101644245,0.16192071468453378,0.3806522881756065,0.3581749072749689
-46.74196922993241,8.496991922262013e-15,15168.0,59.0,15109.0,58.0,14801.0,308.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9796147991263485,0.020385200873651466,0.01694915254237288,0.15846994535519127,0.9830508474576272,0.9796147991263485,0.999932441561951,0.979628164556962,0.27294117647058824,0.48172757475083056,0.19041365725541695,0.427877815343871,0.3904978056558524
-45.58270317852172,1.8977502609571407e-14,15168.0,59.0,15109.0,58.0,14803.0,306.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.979747170560593,0.020252829439406976,0.01694915254237288,0.15934065934065933,0.9830508474576272,0.979747170560593,0.9999324506890029,0.9797600210970464,0.27423167848699764,0.48333333333333334,0.19141914191419143,0.42946828930162145,0.39159652023499486
-6.033132427465817,0.015040577462348487,15168.0,59.0,15109.0,58.0,14833.0,276.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9817327420742604,0.018267257925739626,0.01694915254237288,0.17365269461077845,0.9830508474576272,0.9817327420742604,0.9999325872994472,0.9817378691983122,0.2951653944020356,0.5087719298245614,0.2078853046594982,0.45482782789411086,0.4092337124080226
-5.877488947478115,0.016725318024010852,15168.0,59.0,15109.0,58.0,14839.0,270.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9821298563769938,0.017870143623006155,0.01694915254237288,0.17682926829268292,0.9830508474576272,0.9821298563769938,0.9999326145552561,0.9821334388185654,0.2997416020671835,0.5141843971631206,0.21152443471918309,0.46026336494541586,0.41304619414577176
-5.502005808598689,0.021589973529860838,15168.0,59.0,15109.0,58.0,14843.0,266.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9823945992454828,0.017605400754517175,0.01694915254237288,0.17901234567901234,0.9830508474576272,0.9823945992454828,0.9999326327135543,0.9823971518987342,0.3028720626631854,0.5178571428571429,0.2140221402214022,0.46395980244519675,0.41564602079111723
-5.332381819530725,0.024218416357224524,15168.0,59.0,15109.0,58.0,14970.0,139.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9908001853200079,0.009199814679992058,0.01694915254237288,0.29441624365482233,0.9830508474576272,0.9908001853200079,0.9999332041947766,0.9907700421940928,0.453125,0.6697459584295612,0.34238488783943327,0.6227478769795731,0.5353993965124153
-2.5501369203250244,0.1458385279710229,15168.0,59.0,15109.0,58.0,14973.0,136.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9909987424713746,0.009001257528625323,0.01694915254237288,0.29896907216494845,0.9830508474576272,0.9909987424713746,0.9999332175771337,0.9909678270042194,0.45849802371541504,0.6744186046511628,0.3473053892215569,0.627823363997323,0.5395791441041016
-2.174653781445598,0.18133109248392157,15168.0,59.0,15109.0,58.0,14975.0,134.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9911311139056191,0.008868886094380832,0.01694915254237288,0.3020833333333333,0.9830508474576272,0.9911311139056191,0.9999332264957265,0.9910996835443038,0.46215139442231074,0.677570093457944,0.35066505441354295,0.631253230807527,0.5424196572935513
-0.9411863139476394,0.3424532662705328,15168.0,59.0,15109.0,58.0,15006.0,103.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9931828711364088,0.006817128863591237,0.01694915254237288,0.36024844720496896,0.9830508474576272,0.9931828711364088,0.9999333644299327,0.9931434599156118,0.5272727272727272,0.7304785894206549,0.41251778093883357,0.6896511285154182,0.5929769214246678
2.0829477007609656,0.8090407645095874,15168.0,59.0,15109.0,58.0,15011.0,98.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.99351379972202,0.0064862002779800115,0.01694915254237288,0.3717948717948718,0.9830508474576272,0.99351379972202,0.9999333866240341,0.9934731012658228,0.5395348837209303,0.7397959183673469,0.424597364568082,0.7000972783961348,0.6025086518296343
2.3861657132054517,0.8394260818224613,15168.0,59.0,15109.0,58.0,15012.0,97.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9935799854391423,0.006420014560857767,0.01694915254237288,0.3741935483870968,0.9830508474576272,0.9935799854391423,0.9999333910610804,0.9935390295358649,0.5420560747663551,0.7416879795396419,0.4270986745213549,0.702224595152394,0.6044699367895747
2.4584308396403918,0.8460635220006714,15168.0,59.0,15109.0,58.0,15019.0,90.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9940432854589979,0.005956714541002051,0.01694915254237288,0.3918918918918919,0.9830508474576272,0.9940432854589979,0.9999334221038615,0.9940005274261603,0.5603864734299517,0.7552083333333334,0.445468509984639,0.7174856349797124,0.6187489114604283
2.6280548287083563,0.8607614547470862,15168.0,59.0,15109.0,58.0,15069.0,40.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9973525713151102,0.002647428684889801,0.01694915254237288,0.5918367346938775,0.9830508474576272,0.9973525713151102,0.9999336429993364,0.99729694092827,0.7388535031847133,0.8682634730538922,0.6430155210643016,0.8493258976997071,0.7616913426177699
2.768839427383246,0.87205067431435,15168.0,59.0,15109.0,58.0,15070.0,39.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9974187570322325,0.002581242967767556,0.01694915254237288,0.5979381443298969,0.9830508474576272,0.9974187570322325,0.9999336474022958,0.9973628691983122,0.7435897435897436,0.8708708708708709,0.6487695749440716,0.8524586966274602,0.7656338022679685
3.389862642559647,0.9129082906414177,15168.0,59.0,15109.0,58.0,15085.0,24.0,1.0,0.0038897679324894517,0.99611026,0.9830508474576272,0.9984115427890661,0.0015884572109338805,0.01694915254237288,0.7073170731707317,0.9830508474576272,0.9984115427890661,0.9999337133766406,0.9983517932489452,0.8226950354609929,0.9119496855345912,0.7493540051679587,0.9023862290001148,0.8331506751294376
5.785782866793483,0.9821965482358918,15168.0,59.0,15109.0,45.0,15085.0,24.0,14.0,0.0038897679324894517,0.99611026,0.7627118644067796,0.9984115427890661,0.0015884572109338805,0.23728813559322035,0.6521739130434783,0.7627118644067796,0.9984115427890661,0.999072786277237,0.9974947257383966,0.703125,0.7377049180327869,0.6716417910447762,0.8252589476755495,0.7040448186813331
6.096191454536337,0.9855934064953522,15168.0,59.0,15109.0,45.0,15095.0,14.0,14.0,0.0038897679324894517,0.99611026,0.7627118644067796,0.9990733999602885,0.0009266000397114303,0.23728813559322035,0.7627118644067796,0.7627118644067796,0.9990733999602885,0.9990733999602885,0.9981540084388185,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.8650374719040311,0.7617852643670683
6.341731530833312,0.9878205786825853,15168.0,59.0,15109.0,43.0,15098.0,11.0,16.0,0.0038897679324894517,0.99611026,0.7288135593220338,0.9992719571116553,0.0007280428883446953,0.2711864406779661,0.7962962962962963,0.7288135593220338,0.9992719571116553,0.9989413788540427,0.9982199367088608,0.7610619469026548,0.7413793103448276,0.7818181818181819,0.8639877457985143,0.7609211742351246
6.717214669712738,0.9905852508191495,15168.0,59.0,15109.0,42.0,15098.0,11.0,17.0,0.0038897679324894517,0.99611026,0.711864406779661,0.9992719571116553,0.0007280428883446953,0.288135593220339,0.7924528301886793,0.711864406779661,0.9992719571116553,0.9988752894475686,0.9981540084388185,0.75,0.726643598615917,0.7749077490774908,0.8568023607748184,0.7501614503845647
6.886838658780702,0.9916208371220472,15168.0,59.0,15109.0,7.0,15098.0,11.0,52.0,0.0038897679324894517,0.99611026,0.11864406779661017,0.9992719571116553,0.0007280428883446953,0.8813559322033898,0.3888888888888889,0.11864406779661017,0.9992719571116553,0.9965676567656766,0.9958465189873418,0.18181818181818182,0.1377952755905512,0.26717557251908397,0.3075935763508661,0.21319358254520165
7.019250334291441,0.9923500255001767,15168.0,59.0,15109.0,6.0,15098.0,11.0,53.0,0.0038897679324894517,0.99611026,0.1016949152542373,0.9992719571116553,0.0007280428883446953,0.8983050847457628,0.35294117647058826,0.1016949152542373,0.9992719571116553,0.9965018810639562,0.9957805907172996,0.15789473684210525,0.11857707509881422,0.23622047244094488,0.2726484716420067,0.18783549342240302
7.06053670649461,0.9925642412499609,15168.0,59.0,15109.0,6.0,15102.0,7.0,53.0,0.0038897679324894517,0.99611026,0.1016949152542373,0.9995366999801443,0.00046330001985571515,0.8983050847457628,0.46153846153846156,0.1016949152542373,0.9995366999801443,0.9965028043549984,0.9960443037974683,0.16666666666666666,0.12048192771084337,0.2702702702702703,0.2856332274171584,0.2153328985324718
7.329658922034295,0.9938218090151039,15168.0,59.0,15109.0,4.0,15102.0,7.0,55.0,0.0038897679324894517,0.99611026,0.06779661016949153,0.9995366999801443,0.00046330001985571515,0.9322033898305084,0.36363636363636365,0.06779661016949153,0.9995366999801443,0.9963713135844824,0.9959124472573839,0.11428571428571428,0.08097165991902834,0.1941747572815534,0.20508502772015713,0.15569363694949517
10.346602361444532,0.9992325874009302,15168.0,59.0,15109.0,4.0,15103.0,6.0,55.0,0.0038897679324894517,0.99611026,0.06779661016949153,0.9996028856972665,0.00039711430273347013,0.9322033898305084,0.4,0.06779661016949153,0.9996028856972665,0.9963715529753265,0.9959783755274262,0.11594202898550725,0.08130081300813008,0.20202020202020202,0.2077486190813936,0.16344798208133682
10.657010949187386,0.9993810562909591,15168.0,59.0,15109.0,4.0,15107.0,2.0,55.0,0.0038897679324894517,0.99611026,0.06779661016949153,0.9998676285657555,0.00013237143424449003,0.9322033898305084,0.6666666666666666,0.06779661016949153,0.9998676285657555,0.9963725102229257,0.9962420886075949,0.12307692307692308,0.08264462809917356,0.24096385542168675,0.21913277771683504,0.21181133387021353
11.621356201145659,0.9996826888268006,15168.0,59.0,15109.0,1.0,15109.0,0.0,58.0,0.0038897679324894517,0.99611026,0.01694915254237288,1.0,0.0,0.9830508474576272,1.0,0.01694915254237288,1.0,0.9961759082217974,0.9961761603375527,0.03333333333333333,0.02109704641350211,0.07936507936507936,0.0645121347201585,0.1299397453725691
